eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
918.72,4784.737174010001,3936,0.0035094803357375386,0.03782806396484375,-0.8953269938006997,-0.0019443233526544646,0.027388949104351922,0.6970213265623897,239,489472,4044.8955146000003,15663104
924.94,4836.305613389999,3931,0.003441298041843524,0.036660957336425784,-0.897696534730494,-0.0018695641818339936,0.026367559906793757,0.7028275880496949,240,491520,4061.5674040000004,15728640
960.06,5053.70280508,3948,0.003358323768300208,0.03571529388427734,-0.899035020172596,-0.0019403556339966598,0.025529418181395157,0.6554204092826694,241,493568,4078.1655367000003,15794176
969.18,5088.71673526,3931,0.0032544330736582723,0.03370742797851563,-0.9005973333492875,-0.0017897705518407747,0.0265385843871627,0.7321795469149948,242,495616,4094.8349606,15859712
974.48,5113.4313020399995,3928,0.0031873918119698363,0.03327236175537109,-0.9024299724027515,-0.0017904311305755982,0.02656351476034615,0.5748518366366625,243,497664,4111.5202951,15925248
970.31,5150.17483058,3945,0.003223338547992454,0.03320941925048828,-0.9037288805469871,-0.0018168427253840492,0.02629083054489456,0.33511523343622684,244,499712,4128.1301159,15990784
945.36,5007.6086034400005,3928,0.003432757361696141,0.036730384826660155,-0.9061844874173403,-0.0019267503099399618,0.02607440357096493,0.5265527656301856,245,501760,4144.8143447,16056320
954.0,5127.85497881,3926,0.0035287257794378163,0.03725852966308594,-0.9100344244390726,-0.001974468723710743,0.0269314989738632,0.15637632515281438,246,503808,4161.5053589,16121856
966.11,5069.65332476,3923,0.0035900131581441306,0.03875732421875,-0.9129057832062244,-0.002023416913289111,0.02574965129606426,0.7861479622777552,247,505856,4178.2091624,16187392
976.37,5131.58059182,3919,0.0034647760462318254,0.036751747131347656,-0.9139487128704786,-0.0021325219378923064,0.026102505024755373,0.6612249880563468,248,507904,4194.9294339,16252928
946.39,4975.59988453,3919,0.0032971631368211053,0.034976959228515625,-0.9149727120995521,-0.0018292271059181075,0.027850964380195364,0.7181091990787536,249,509952,4211.6490323,16318464
963.14,5050.54078205,3928,0.0033253086398174134,0.0346343994140625,-0.9169631961733102,-0.0019716742695891297,0.024907184913172387,0.7044300907757133,250,512000,4228.3314536,16384000
957.1,5053.76309952,3892,0.0032792206856525363,0.03450794219970703,-0.9201734548434615,-0.001966466822705115,0.02597332463483326,0.6593982087448239,251,514048,4245.1702967,16449536
972.39,5195.907948470001,3906,0.0035595857496146083,0.03833484649658203,-0.920711799710989,-0.0018503727289498784,0.02666348693310283,0.6092028640210628,252,516096,4261.9461145000005,16515072
962.09,5086.90157545,3923,0.003455319117442289,0.03616771697998047,-0.9245578154921532,-0.0019674895953357917,0.025298634765204043,0.7134783688001335,253,518144,4278.6498046,16580608
976.59,5194.544207649999,3920,0.003288307257056912,0.034879302978515624,-0.9288292774930597,-0.001880091160273878,0.025650964982924053,0.46704427571967244,254,520192,4295.3686936,16646144
971.67,5200.31889763,3933,0.0035613407981101393,0.03804035186767578,-0.9321224629878998,-0.0018006904232606758,0.02739792726933956,0.6021638320758939,255,522240,4312.0300676,16711680
946.37,4968.42385677,3930,0.0035246346094502286,0.037597274780273436,-0.9341873601078987,-0.0018604523123940454,0.0261548864596989,0.7659548984374851,256,524288,4328.7034559,16777216
973.82,5152.86340822,3931,0.0034772096012914365,0.03742961883544922,-0.936401229351759,-0.0019670373549161013,0.02557413578615524,0.4975494422018528,257,526336,4345.3728082,16842752
960.74,5169.4754284499995,3929,0.0032009486051264267,0.03330650329589844,-0.936941109970212,-0.0018388933269307018,0.027095397614175454,0.2451754964888096,258,528384,4362.0523859,16908288
965.96,5128.50087997,3915,0.0034751247204155332,0.03730087280273438,-0.939086538925767,-0.001975863289226254,0.026149020434240812,0.7120088952593505,259,530432,4378.7921096,16973824
